-0.065, -0.07, -0.0766718, -0.0576805
-0.065, -0.07, -0.0778434, -0.0589073
-0.065, -0.07, -0.0788866, -0.0602449
-0.065, -0.07, -0.0797911, -0.06168
-0.065, -0.07, -0.0805479, -0.0631982
-0.065, -0.07, -0.0811492, -0.0647844
-0.065, -0.07, -0.0815892, -0.0664227
-0.065, -0.07, -0.0818635, -0.0680967
-0.065, -0.07, -0.0819693, -0.0697898
-0.06, -0.07, -0.0703836, -0.0565768
-0.06, -0.07, -0.0716718, -0.0576805
-0.06, -0.07, -0.0728434, -0.0589073
-0.06, -0.07, -0.0738866, -0.0602449
-0.06, -0.07, -0.0747911, -0.06168
-0.06, -0.07, -0.0755479, -0.0631982
-0.06, -0.07, -0.0761492, -0.0647844
-0.06, -0.07, -0.0765892, -0.0664227
-0.06, -0.07, -0.0768635, -0.0680967
-0.06, -0.07, -0.0769693, -0.0697898
-0.06, -0.07, -0.0769055, -0.0714849
-0.055, -0.07, -0.0639916, -0.0556073
-0.055, -0.07, -0.0653836, -0.0565768
-0.055, -0.07, -0.0666718, -0.0576805
-0.055, -0.07, -0.0678434, -0.0589073
-0.055, -0.07, -0.0688866, -0.0602449
-0.055, -0.07, -0.0697911, -0.06168
-0.055, -0.07, -0.0705479, -0.0631982
-0.055, -0.07, -0.0711492, -0.0647844
-0.055, -0.07, -0.0715892, -0.0664227
-0.055, -0.07, -0.0718635, -0.0680967
-0.055, -0.07, -0.0719693, -0.0697898
-0.055, -0.07, -0.0719055, -0.0714849
-0.055, -0.07, -0.0716728, -0.0731652
-0.05, -0.07, -0.0575098, -0.0547815
-0.05, -0.07, -0.0589916, -0.0556073
-0.05, -0.07, -0.0603836, -0.0565768
-0.05, -0.07, -0.0616718, -0.0576805
-0.05, -0.07, -0.0628434, -0.0589073
-0.05, -0.07, -0.0638866, -0.0602449
-0.05, -0.07, -0.0647911, -0.06168
-0.05, -0.07, -0.0655479, -0.0631982
-0.05, -0.07, -0.0661492, -0.0647844
-0.05, -0.07, -0.0665892, -0.0664227
-0.05, -0.07, -0.0668635, -0.0680967
-0.05, -0.07, -0.0669693, -0.0697898
-0.05, -0.07, -0.0669055, -0.0714849
-0.05, -0.07, -0.0666728, -0.0731652
-0.05, -0.07, -0.0662735, -0.0748139
-0.05, -0.07, -0.0657116, -0.0764145
-0.045, -0.07, -0.050953, -0.0541078
-0.045, -0.07, -0.0525098, -0.0547815
-0.045, -0.07, -0.0539916, -0.0556073
